Category Name,Geographic Cluster Name,Org Name,Address,Program Location Name,Program Meeting Type,Program Name,Program Start Date,Program Year,Program Sub Categories,Program Zip Code,school_session,Site Id,Site Name,Program Long,Program Lat
Helping Your Community,LOOP,Digital Youth Network,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,SPRING into Summer Fair!,4/14/18,2018,Customer/Human Service | Transportation | Teaching | Building & Fixing Things | Helping Your Community. | Law,60605,school year,2,My Chi My Future,41.87290192,-87.62792969
Helping Your Community,LOOP,Argonne National Laboratory,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,Engineering the Future,9/23/17,2017,Law | Transportation | Customer/Human Service | Building & Fixing Things | Teaching | Helping Your Community.,60605,summer,2,My Chi My Future,41.87290192,-87.62792969
Helping Your Community,LOOP,Chicago Architecture Center,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,Build & Test @ The Back to School Jam,9/23/17,2017,Helping Your Community. | Law | Transportation | Customer/Human Service | Building & Fixing Things | Teaching,60605,summer,2,My Chi My Future,41.87290192,-87.62792969
Computers,LOOP,Code Create,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,Cardboard Switching @ The Back to School Jam,9/23/17,2017,Law | Computers. | Helping Your Community. | Teaching | Customer/Human Service,60605,summer,2,My Chi My Future,41.87290192,-87.62792969
Building And Fixing Things,LOOP,Digital Youth Network,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,Back to School Jam 2017 ,9/23/17,2017,Customer/Human Service | Law | Building & Fixing Things | Helping Your Community. | Transportation | Teaching,60605,summer,2,My Chi My Future,41.87290192,-87.62792969
Digital Media,LOOP,IMPACT Family Center,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,IMPACT Chi P.S.A @ The Back to School Jam,9/23/17,2017,Digital media. | Helping Your Community. | Teaching | Customer/Human Service | Law,60605,summer,2,My Chi My Future,41.87290192,-87.62792969
Building And Fixing Things,LOOP,Microsoft,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,Microsoft Digital Painting Station,9/23/17,2017,Customer/Human Service | Law | Building & Fixing Things | Helping Your Community. | Transportation | Teaching,60605,summer,2,My Chi My Future,41.87290192,-87.62792969
Learning As A Lifestyle,LOOP,Mikva Challenge,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,Letter of Change,9/23/17,2017,Academic Support | Helping Your Community. | Law | Customer/Human Service | Work + Career | Teaching,60605,summer,2,My Chi My Future,41.87290192,-87.62792969
Helping Your Community,LOOP,Peggy Notebaert Nature Museum,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,Nature Makers,9/23/17,2017,Customer/Human Service | Teaching | Nature. | Helping Your Community. | Law,60605,summer,2,My Chi My Future,41.87290192,-87.62792969
Science & Math,LOOP,Project Exploration,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,Discovering Forensics @ The Back to School Jam,9/23/17,2017,Law | Science | Customer/Human Service | Healthcare | Teaching | Math | Helping Your Community.,60605,summer,2,My Chi My Future,41.87290192,-87.62792969
Helping Your Community,LOOP,The Art Institute of Chicago | Department of Learning and Public Engagement,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,Mask Making,9/23/17,2017,Customer/Human Service | Building & Fixing Things | Teaching | Helping Your Community. | Law | Transportation,60605,summer,2,My Chi My Future,41.87290192,-87.62792969
Helping Your Community,LOOP,Project SYNCERE,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,Stop Robot @ The Back to School Jam,9/23/17,2017,Computers. | Helping Your Community. | Teaching | Customer/Human Service | Law,60605,summer,2,My Chi My Future,41.87290192,-87.62792969
Computers,LOOP,Digital Youth Network,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,Back to School Jam 2016,9/10/16,2016,Building & Fixing Things | Transportation | Computers.,60605,summer,2,My Chi My Future,41.87290192,-87.62792969
Building And Fixing Things,LOOP,Adler Planetarium,700 S State St,"700 S State St, Chicago, Illinois, 60605",face_to_face,Martian Madness@UpWithChi: Spring It Out 2016,4/23/16,2016,Building & Fixing Things | Transportation,60605,school year,2,My Chi My Future,41.87290192,-87.62792969
