Address,Name,Formatted Address,Types,Match Score
1 E Jackson Blvd,DePaul University - Loop Campus,"1 east jackson boulevard, chicago","university, point_of_interest, establishment",0.68
1 E Upper Wacker Dr,,,,
1 N Dearborn St,interactiveAmy Social Media Consulting,"1 north dearborn street, chicago","point_of_interest, establishment",0.68
1 N La Salle St,Aurora Firefighters Credit Union,"88 north la salle street, aurora","finance, point_of_interest, establishment",0.62
1 N Ogden Ave,The Salvation Army Chicago Temple Corps Community Center,"1 north ogden avenue, chicago","church, place_of_worship, point_of_interest, establishment",0.67
1 N Wacker Dr,Northwestern Mutual Wealth Management Company: Pamela C Atkinson,"ubs tower, north wacker drive, chicago","finance, point_of_interest, establishment",0.72
1 University Pkwy,,,,
10 E Randolph St,The Joffrey Ballet,"10 east randolph street, chicago","point_of_interest, establishment",0.69
10 W 32nd St,miss KOREA BBQ,"10 west 32nd street, new york","bar, restaurant, food, point_of_interest, establishment",0.67
10 W 33rd St,Jackson Corporation,"10 west 33rd street #240, new york","store, point_of_interest, establishment",0.62
10 W 35th St,JLC Studio,"10 west 35th street, chicago","point_of_interest, establishment",0.66
100 N Central Ave,,,,
100 N Central Park Ave,Netta B. Bistro,"100 north central park avenue, chicago","restaurant, food, point_of_interest, establishment",0.74
100 S Racine Ave,Chicago Children's Theatre,"100 south racine avenue, chicago","point_of_interest, establishment",0.69
1000 E 73rd St,,,,
1000 Grove St,,,,
1000 Lake Cook Rd,The Garden View Café at the Chicago Botanic Garden,"1000 lake cook road, glencoe","cafe, store, restaurant, food, point_of_interest, establishment",0.75
1000 W Fulton Market,ColorJar,"1000 west fulton market, chicago","point_of_interest, establishment",0.76
10001 S Woodlawn Ave,Olive-Harvey College,"10001 south woodlawn avenue, chicago","library, university, point_of_interest, establishment",0.72
10009 S Yates Blvd,GLO Academy,"10009 south yates boulevard, chicago","school, point_of_interest, establishment",0.69
1001 N Crosby St,Park Community Church - Near North,"1001 north crosby street, chicago","church, place_of_worship, point_of_interest, establishment",0.68
1001 W Wrightwood Ave,Jonquil Park,"1001 west wrightwood avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.74
1002 S Columbus Dr,,,,
10046 S Western Ave,MRS Quality Tax Service,"10032 south western avenue, los angeles","accounting, finance, point_of_interest, establishment",0.7
100K Opportunities,,,,
101 N Upper Wacker Dr,TTX Company,"101 north wacker drive, chicago","point_of_interest, establishment",0.69
10108 S Exchange Ave,Park No. 583,"10108 south exchange avenue, chicago","park, point_of_interest, establishment",0.72
